theta;f;class
26;0.72;longe
26;0.73;longe
26;0.74;longe
26;0.75;longe
26;0.76;longe
26;0.77;longe
26;0.78;longe
26;0.79;longe
26;0.8;longe
26;0.81;longe
26;0.82;longe
26;0.83;longe
26;0.84;perto
26;0.85;perto
26;0.86;perto
26;0.87;perto
26;0.88;perto
26;0.89;perto
26;0.9;muito perto
26;0.91;muito perto
26;0.92;longe
26;0.93;longe
26;0.94;perto
26;0.95;perto
26;0.96;acertou
26;0.97;perto
26;0.98;acertou
26;0.99;longe
27;0.5;longe
27;0.51;longe
27;0.52;longe
27;0.53;longe
27;0.54;longe
27;0.55;longe
27;0.56;longe
27;0.57;longe
27;0.58;longe
27;0.59;longe
27;0.6;longe
27;0.61;longe
27;0.62;longe
27;0.63;longe
27;0.64;longe
27;0.65;longe
27;0.66;longe
27;0.67;longe
27;0.68;longe
27;0.69;longe
27;0.7;longe
27;0.71;longe
27;0.72;longe
27;0.73;longe
27;0.74;longe
27;0.75;longe
27;0.76;longe
27;0.77;longe
27;0.78;longe
27;0.79;longe
27;0.8;longe
27;0.81;longe
27;0.82;longe
27;0.83;perto
27;0.84;perto
27;0.85;perto
27;0.86;perto
27;0.87;perto
27;0.88;perto
27;0.89;muito perto
27;0.9;muito perto
27;0.91;longe
27;0.92;longe
27;0.93;acertou
27;0.94;acertou
27;0.95;perto
27;0.96;muito perto
27;0.97;acertou
27;0.98;longe
27;0.99;perto
28;0.5;longe
28;0.51;longe
28;0.52;longe
28;0.53;longe
28;0.54;longe
28;0.55;longe
28;0.56;longe
28;0.57;longe
28;0.58;longe
28;0.59;longe
28;0.6;longe
28;0.61;longe
28;0.62;longe
28;0.63;longe
28;0.64;longe
28;0.65;longe
28;0.66;longe
28;0.67;longe
28;0.68;longe
28;0.69;longe
28;0.7;longe
28;0.71;longe
28;0.72;longe
28;0.73;longe
28;0.74;longe
28;0.75;longe
28;0.76;longe
28;0.77;longe
28;0.78;longe
28;0.79;longe
28;0.8;longe
28;0.81;longe
28;0.82;perto
28;0.83;perto
28;0.84;perto
28;0.85;perto
28;0.86;perto
28;0.87;perto
28;0.88;muito perto
28;0.89;muito perto
28;0.9;longe
28;0.91;longe
28;0.92;muito perto
28;0.93;acertou
28;0.94;muito perto
28;0.95;acertou
28;0.96;longe
28;0.97;acertou
28;0.98;muito perto
28;0.99;acertou
29;0.5;longe
29;0.51;longe
29;0.52;longe
29;0.53;longe
29;0.54;longe
29;0.55;longe
29;0.56;longe
29;0.57;longe
29;0.58;longe
29;0.59;longe
29;0.6;longe
29;0.61;longe
29;0.62;longe
29;0.63;longe
29;0.64;longe
29;0.65;longe
29;0.66;longe
29;0.67;longe
29;0.68;longe
29;0.69;longe
29;0.7;longe
29;0.71;longe
29;0.72;longe
29;0.73;longe
29;0.74;longe
29;0.75;longe
29;0.76;longe
29;0.77;longe
29;0.78;longe
29;0.79;longe
29;0.8;perto
29;0.81;perto
29;0.82;perto
29;0.83;perto
29;0.84;perto
29;0.85;perto
29;0.86;perto
29;0.87;muito perto
29;0.88;muito perto
29;0.89;longe
29;0.9;longe
29;0.91;muito perto
29;0.92;acertou
29;0.93;muito perto
29;0.94;acertou
29;0.95;longe
29;0.96;acertou
29;0.97;muito perto
29;0.98;perto
29;0.99;perto
30;0.5;longe
30;0.51;longe
30;0.52;longe
30;0.53;longe
30;0.54;longe
30;0.55;longe
30;0.56;longe
30;0.57;longe
30;0.58;longe
30;0.59;longe
30;0.6;longe
30;0.61;longe
30;0.62;longe
30;0.63;longe
30;0.64;longe
30;0.65;longe
30;0.66;longe
30;0.67;longe
30;0.68;longe
30;0.69;longe
30;0.7;longe
30;0.71;longe
30;0.72;longe
30;0.73;longe
30;0.74;longe
30;0.75;longe
30;0.76;longe
30;0.77;longe
30;0.78;longe
30;0.79;perto
30;0.8;perto
30;0.81;perto
30;0.82;perto
30;0.83;perto
30;0.84;perto
30;0.85;perto
30;0.86;muito perto
30;0.87;muito perto
30;0.88;longe
30;0.89;longe
30;0.9;muito perto
30;0.91;acertou
30;0.92;perto
30;0.93;acertou
30;0.94;longe
30;0.95;acertou
30;0.96;acertou
30;0.97;acertou
30;0.98;perto
30;0.99;perto
31;0.5;longe
31;0.51;longe
31;0.52;longe
31;0.53;longe
31;0.54;longe
31;0.55;longe
31;0.56;longe
31;0.57;longe
31;0.58;longe
31;0.59;longe
31;0.6;longe
31;0.61;longe
31;0.62;longe
31;0.63;longe
31;0.64;longe
31;0.65;longe
31;0.66;longe
31;0.67;longe
31;0.68;longe
31;0.69;longe
31;0.7;longe
31;0.71;longe
31;0.72;longe
31;0.73;longe
31;0.74;longe
31;0.75;longe
31;0.76;longe
31;0.77;longe
31;0.78;longe
31;0.79;perto
31;0.8;perto
31;0.81;perto
31;0.82;perto
31;0.83;perto
31;0.84;perto
31;0.85;muito perto
31;0.86;muito perto
31;0.87;longe
31;0.88;longe
31;0.89;perto
31;0.9;acertou
31;0.91;acertou
31;0.92;acertou
31;0.93;longe
31;0.94;perto
31;0.95;acertou
31;0.96;acertou
31;0.97;perto
31;0.98;perto
31;0.99;perto
32;0.5;longe
32;0.51;longe
32;0.52;longe
32;0.53;longe
32;0.54;longe
32;0.55;longe
32;0.56;longe
32;0.57;longe
32;0.58;longe
32;0.59;longe
32;0.6;longe
32;0.61;longe
32;0.62;longe
32;0.63;longe
32;0.64;longe
32;0.65;longe
32;0.66;longe
32;0.67;longe
32;0.68;longe
32;0.69;longe
32;0.7;longe
32;0.71;longe
32;0.72;longe
32;0.73;longe
32;0.74;longe
32;0.75;longe
32;0.76;longe
32;0.77;longe
32;0.78;perto
32;0.79;perto
32;0.8;perto
32;0.81;perto
32;0.82;perto
32;0.83;perto
32;0.84;muito perto
32;0.85;muito perto
32;0.86;muito perto
32;0.87;longe
32;0.88;acertou
32;0.89;perto
32;0.9;acertou
32;0.91;acertou
32;0.92;longe
32;0.93;perto
32;0.94;acertou
32;0.95;acertou
32;0.96;perto
32;0.97;perto
32;0.98;perto
32;0.99;perto
33;0.5;longe
33;0.51;longe
33;0.52;longe
33;0.53;longe
33;0.54;longe
33;0.55;longe
33;0.56;longe
33;0.57;longe
33;0.58;longe
33;0.59;longe
33;0.6;longe
33;0.61;longe
33;0.62;longe
33;0.63;longe
33;0.64;longe
33;0.65;longe
33;0.66;longe
33;0.67;longe
33;0.68;longe
33;0.69;longe
33;0.7;longe
33;0.71;longe
33;0.72;longe
33;0.73;longe
33;0.74;longe
33;0.75;longe
33;0.76;longe
33;0.77;perto
33;0.78;perto
33;0.79;perto
33;0.8;perto
33;0.81;perto
33;0.82;perto
33;0.83;muito perto
33;0.84;muito perto
33;0.85;muito perto
33;0.86;longe
33;0.87;perto
33;0.88;perto
33;0.89;acertou
33;0.9;acertou
33;0.91;longe
33;0.92;longe
33;0.93;muito perto
33;0.94;acertou
33;0.95;perto
33;0.96;perto
33;0.97;perto
33;0.98;perto
33;0.99;perto
34;0.5;longe
34;0.51;longe
34;0.52;longe
34;0.53;longe
34;0.54;longe
34;0.55;longe
34;0.56;longe
34;0.57;longe
34;0.58;longe
34;0.59;longe
34;0.6;longe
34;0.61;longe
34;0.62;longe
34;0.63;longe
34;0.64;longe
34;0.65;longe
34;0.66;longe
34;0.67;longe
34;0.68;longe
34;0.69;longe
34;0.7;longe
34;0.71;longe
34;0.72;longe
34;0.73;longe
34;0.74;longe
34;0.75;longe
